n,method,dimension,mean_runtime_seconds,std_runtime_seconds,successful_repetitions
200,CPI,50,88.60438329115277,1.3144218354017076,16
200,LOCO,50,99.42492146076984,2.3522506905683644,16
200,nLOCO,50,204.12872549367603,6.514050412235753,16
200,dLOCO,50,120.1446099820896,4.040148829701659,16
200,OT,50,7.054982892033877,0.5906582891621018,16
200,EOT,50,5.9088173307536636,0.7441353549800893,16
200,FDFI,50,26.733315768680768,1.0708590904089057,16
200,SHAP,10,1443.5926178295922,60.81005157973139,16
400,CPI,50,108.32013555732556,8.762019008371855,16
400,LOCO,50,101.22697966446867,4.130045496131218,16
400,nLOCO,50,210.4898348597053,8.358099098584868,16
400,dLOCO,50,164.3262463568244,5.043748002731484,16
400,OT,50,14.017222054273589,1.5026736896786193,16
400,EOT,50,11.181318895920413,0.34532289457247783,16
400,FDFI,50,46.21609723806614,2.7634162094190415,16
400,SHAP,10,1485.0325239280064,80.97315349868859,16
600,CPI,50,128.62417166735395,14.153963341561596,16
600,LOCO,50,95.39236426970456,4.509247530550004,16
600,nLOCO,50,196.7570860623673,11.50100989806268,16
600,dLOCO,50,232.73963182303123,9.92553337274518,16
600,OT,50,21.104635264433455,2.9186631417762534,16
600,EOT,50,19.480494486546377,2.6540162342646134,16
600,FDFI,50,61.342271428817185,8.017864824933074,16
600,SHAP,10,1448.307008533011,55.720287144045756,16
800,CPI,50,150.7174184481264,20.438198358704593,16
800,LOCO,50,94.94257324075443,2.8782953310933515,16
800,nLOCO,50,203.83388285833644,7.4217953324934625,16
800,dLOCO,50,316.0369681492448,11.178128942420972,16
800,OT,50,27.040067121008178,3.2952281260710925,16
800,EOT,50,26.233619494887535,2.049801097498535,16
800,FDFI,50,76.02358311903663,6.949502350917713,16
800,SHAP,10,1507.7039108853787,65.94112971548587,16
1000,CPI,50,165.39997166077956,11.299981841420461,16
1000,LOCO,50,96.95300371313351,4.034893576019217,16
1000,nLOCO,50,197.38872248167172,10.93190590179484,16
1000,dLOCO,50,389.00535986968316,25.040084774982617,16
1000,OT,50,35.471238068072125,3.35419023547862,16
1000,EOT,50,34.89420362672536,1.6558079477757712,16
1000,FDFI,50,96.20915500237606,7.446613302861623,16
1000,SHAP,10,1584.727365740604,65.14926199029169,16
